    n     	Sequential	Parallel 1	Parallel 2	Parallel 3	Parallel 4
    12    	0.00001280	0.09373520	0.09906830	0.10976810	0.10530210
    24    	0.00001680	0.09118890	0.09753300	0.10042860	0.10470020
    48    	0.00002570	0.09405450	0.10025880	0.10295970	0.10215110
    96    	0.00004270	0.09850820	0.09905640	0.10099860	0.10527040
   192    	0.00007630	0.09277420	0.09659080	0.10180960	0.10488840
   384    	0.00015070	0.09606150	0.09877250	0.10501910	0.10646080
   768    	0.00029370	0.09465920	0.09835510	0.10056240	0.10319370
   1536   	0.00055410	0.09518510	0.09852140	0.10194090	0.10479840
   3072   	0.00107020	0.09907790	0.09963060	0.10364390	0.10496300
   6144   	0.00214050	0.09578580	0.10090380	0.10432630	0.10680630
  12288   	0.00432250	0.09893060	0.10517590	0.10929330	0.10789050
  24576   	0.00885520	0.10378530	0.10734440	0.10899580	0.11082230
  49152   	0.01743480	0.11119520	0.11228290	0.11632910	0.12069410
  98304   	0.03426760	0.13044560	0.11991280	0.12546370	0.12470030
  196608  	0.06893120	0.16363380	0.13875690	0.13915230	0.13852900
  393216  	0.13779420	0.23186160	0.17456060	0.16322490	0.16081820
  786432  	0.27288930	0.36638210	0.24569580	0.20912680	0.19327610
 1572864  	0.55295660	0.66471350	0.39263290	0.30700100	0.26778040
 3145728  	1.10746040	1.20079700	0.67431000	0.49446790	0.41781440
 6291456  	2.22528790	2.32548870	1.28110590	0.92058710	0.70716080
 12582912 	4.46761450	4.57628200	2.42330990	1.67360570	1.33332250
